time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,qfi,entropy,purity,linear_entropy,simulator,n_traj_used,max_hierarchy_used
762.0,4.2785713293840754e-11,2.920420172532152e-11,9.480197238843245e-11,3.7084158582045223e-11,5.0383535483678234e-11,6.34574130243578e-12,3.257390280374191e-11,1.5640897519209014e-09,52485.80904078073,1.6578590465096634e-10,1.0000000000000002,-2.220446049250313e-16,MesoHOPS,1.0,10.0
764.0,4.3581299159089185e-11,3.230534649541441e-11,8.859399860630653e-11,3.184611237378753e-11,5.0518798864827956e-11,5.892646655870696e-12,2.6280314648038368e-11,1.4852028497374263e-09,53904.60513668558,1.6578623771787373e-10,1.0,0.0,MesoHOPS,1.0,10.0
766.0,4.3565263468647736e-11,3.530436273851779e-11,8.284180761481948e-11,2.812986659689314e-11,5.021766074943898e-11,5.3836572990551285e-12,2.080565911602956e-11,1.407845281660113e-09,55651.24317360141,1.657854605617565e-10,0.9999999999999997,3.3306690738754696e-16,MesoHOPS,1.0,10.0
768.0,4.455321780108533e-11,3.681833343676898e-11,7.864167236976997e-11,2.5675278865074658e-11,4.793886411038564e-11,5.000052354486785e-12,1.62110800862547e-11,1.3342912946036866e-09,56141.7997147597,1.6578612669557127e-10,1.0000000000000002,-2.220446049250313e-16,MesoHOPS,1.0,10.0
770.0,4.5374039301170586e-11,3.8926103619925154e-11,7.394569809853892e-11,2.455523928883325e-11,4.6498298029260985e-11,4.609564467163815e-12,1.2614067087743706e-11,1.278159372965215e-09,57068.1093028368,1.6578612669557127e-10,1.0000000000000002,-2.220446049250313e-16,MesoHOPS,1.0,10.0
772.0,4.6052360314379896e-11,4.205006111385147e-11,6.841435511221274e-11,2.4973863743593116e-11,4.480058243549794e-11,4.401599775143657e-12,9.777322242221329e-12,1.2385220258152624e-09,58081.41213088655,1.6578590465096634e-10,1.0,0.0,MesoHOPS,1.0,10.0
774.0,4.718298657012544e-11,4.4404793752506415e-11,6.31610813481131e-11,2.5752675563209108e-11,4.416824346840245e-11,4.11668169990219e-12,7.918978806430336e-12,1.2106200734676576e-09,59506.60455263333,1.6578623771787373e-10,0.9999999999999999,1.1102230246251565e-16,MesoHOPS,1.0,10.0
776.0,4.840613628906607e-11,4.663638994383449e-11,5.838020483778225e-11,2.7043666961364243e-11,4.297984457790516e-11,3.897998159499967e-12,6.19102635522566e-12,1.1836857662671637e-09,60911.28502144542,1.6578568260636142e-10,1.0,0.0,MesoHOPS,1.0,10.0
778.0,4.954389635211067e-11,4.796327697423879e-11,5.4267059428156704e-11,2.8360147525441297e-11,4.1377900760428946e-11,3.7126231102168944e-12,4.734610395492433e-12,1.153258274091778e-09,62180.93136037239,1.657863487401762e-10,1.0,0.0,MesoHOPS,1.0,10.0
780.0,5.088077943952778e-11,4.947569964331744e-11,5.030960893061465e-11,2.991422167013245e-11,4.1173952174048655e-11,3.466212131521561e-12,3.5510649018069627e-12,1.1322618417716297e-09,63913.844377781,1.6578568260636142e-10,1.0000000000000002,-2.220446049250313e-16,MesoHOPS,1.0,10.0
782.0,5.154583602649729e-11,4.8990270317786976e-11,4.7995229990747347e-11,3.1399585484133544e-11,4.001535244469785e-11,3.260973167067479e-12,2.6939240048724878e-12,1.1051185750737561e-09,64940.93298329864,1.6578623771787373e-10,0.9999999999999999,1.1102230246251565e-16,MesoHOPS,1.0,10.0
784.0,5.229225011026696e-11,4.82290981453502e-11,4.449033698649663e-11,3.2560419351295145e-11,3.671780700763043e-11,3.1311627514222334e-12,2.0729950801641715e-12,1.063661290424842e-09,66124.90942903107,1.6578679282938604e-10,1.0,0.0,MesoHOPS,1.0,10.0
786.0,5.2501276884602605e-11,4.8367054706318974e-11,4.047540477423521e-11,3.4401744721226884e-11,3.383467832932109e-11,2.9430209476129052e-12,1.5645873186709497e-12,1.0257171857363405e-09,67284.51570966351,1.6578612669557127e-10,1.0,0.0,MesoHOPS,1.0,10.0
788.0,5.3592464667324075e-11,4.8107274131408755e-11,3.6950434686808067e-11,3.4886878312156743e-11,3.035249449539407e-11,2.79641852327103e-12,1.1437130276193081e-12,9.81925724654551e-10,68447.78994821763,1.6578568260636142e-10,1.0000000000000002,-2.220446049250313e-16,MesoHOPS,1.0,10.0
790.0,5.253798093023021e-11,4.6382582985078124e-11,3.288935148945498e-11,3.529058733516845e-11,2.710111957153632e-11,2.7136396350708593e-12,8.123775117138622e-13,9.237722915510223e-10,70312.21003042575,1.6578623771787373e-10,1.0000000000000002,-2.220446049250313e-16,MesoHOPS,1.0,10.0
792.0,5.1473996579120686e-11,4.615914181158992e-11,2.94215495295945e-11,3.495544743667184e-11,2.5013073106446257e-11,2.6607147509550695e-12,5.379449403876971e-13,8.771717780830337e-10,72081.0723559929,1.6578645976247866e-10,0.9999999999999999,1.1102230246251565e-16,MesoHOPS,1.0,10.0
794.0,5.128253271324044e-11,4.517235178856006e-11,2.657734054976209e-11,3.37481076767026e-11,2.2835109748843567e-11,2.5415931543909975e-12,3.289924913253713e-13,8.283266148433134e-10,73110.01750929578,1.6578590465096634e-10,1.0000000000000002,-2.220446049250313e-16,MesoHOPS,1.0,10.0
796.0,4.979789978271973e-11,4.331572070159699e-11,2.4797250507064355e-11,3.2478623208936944e-11,2.0964157692810912e-11,2.383317375532083e-12,1.8283455922332863e-13,7.788500912539004e-10,74815.29956603948,1.6578590465096634e-10,1.0000000000000002,-2.220446049250313e-16,MesoHOPS,1.0,10.0
798.0,4.747481072709102e-11,4.185845053155082e-11,2.3348136158418027e-11,3.2104027361509395e-11,1.8822379891739655e-11,2.1928059352397414e-12,8.670335105364225e-14,7.32420493401206e-10,76848.0695716952,1.657863487401762e-10,0.9999999999999999,1.1102230246251565e-16,MesoHOPS,1.0,10.0
