time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherence_l1_norm,qfi,etr
93.18637274549097,0.9715080945227955,0.015785804115980004,0.0008526242841350886,0.00041702969504054885,0.0013896690432881192,0.006277333619214922,0.003769444719545848,0.7815371579481578,0.18786996834081315,0.0008526242841350886
94.188376753507,0.9709071435097658,0.01611259398352348,0.0008764841157943588,0.0004260280600770688,0.0014205181599636963,0.006405478226453488,0.003851753944422227,0.7906616502879277,0.187880054315723,0.0008764841157943588
95.19038076152303,0.970300354870595,0.016442298243568923,0.0009008247401051442,0.0004351197726580252,0.0014517253698156855,0.006534692338912973,0.003934984664344376,0.7997989081410493,0.18789035477681787,0.0009008247401051442
96.19238476953907,0.9696877452851417,0.016774900206178674,0.0009256528553758164,0.0004443045974855578,0.0014832911229147733,0.006664967531307467,0.004019138401596161,0.8089488216783028,0.18790087193391977,0.0009256528553758164
97.1943887775551,0.9690693315483442,0.017110383070583067,0.00095097520466686,0.00045358228972303854,0.0015152158506635584,0.006796295336772009,0.004104216699247273,0.8181112797444039,0.1879116079849359,0.00095097520466686
98.19639278557113,0.9684451305694274,0.01744872992647272,0.0009767985750111531,0.00046295259484336893,0.001547499965178985,0.006928667247910493,0.004190221121156007,0.8272861698583807,0.18792256513253927,0.0009767985750111531
99.19839679358716,0.9678151593711035,0.017789923755296644,0.0010031297966279842,0.0004724152484797008,0.001580143858675955,0.0070620747178454435,0.0042771532519708675,0.8364733782142836,0.187933745581786,0.0010031297966279842
100.2004008016032,0.9671794350887714,0.01813394743156614,0.0010299757421308442,0.00048196997627868057,0.0016131479028522622,0.007196509161269485,0.0043650146971309116,0.8456727896822162,0.1879451515297888,0.0010299757421308442
101.20240480961922,0.9665379749697119,0.018480783724164427,0.0010573433257290185,0.0004916164937563059,0.0016465124482750622,0.007331961955498311,0.004453807082864851,0.8548842878096866,0.18795678517286618,0.0010573433257290185
102.20440881763525,0.9658907963722759,0.018830415297661596,0.0010852395024230277,0.0005013545061564924,0.001680237823769042,0.007468424441524991,0.004543532056188845,0.8641077548232672,0.1879686487089252,0.0010852395024230277
103.20641282565128,0.9652379167650739,0.019182824713635034,0.0011136712671939426,0.0005111837083124392,0.001714324335806469,0.007605887925075365,0.00463419128490294,0.8733430716305579,0.18798074432713546,0.0011136712671939426
104.20841683366733,0.9645793537261578,0.01953799443199503,0.0011426456541866142,0.0005211037845108839,0.001748772267899304,0.007744343677664359,0.004725786457586126,0.8825901178224465,0.18799307422222666,0.0011426456541866142
