wavelength_nm,solar_irradiance,transmission_func_0,transmission_func_1
386.0,2.0563141351862506,0.8,1.1396841480249268e-12
388.0,2.0777263808041937,0.8,2.5685922951912685e-12
390.0,2.099025725664188,0.8,5.672504077188423e-12
392.0,2.1202095441693642,0.8,1.228111957517943e-11
394.0,2.1412752196458764,0.8,2.607913452224089e-11
396.0,2.1622201332490394,0.8,5.434295643963165e-11
398.0,2.1830416520484843,0.8,1.1116944520535783e-10
400.0,2.2037371163047834,0.8,2.233631436203166e-10
402.0,2.2243038259635166,0.8,4.4096899944217935e-10
404.0,2.2447390264074008,0.8,8.557690519398254e-10
406.0,2.2650398935228018,0.8,1.633178494137713e-09
408.0,2.28520351815346,0.8,3.0662750801139022e-09
410.0,2.3052268900313124,0.8,5.665733902836092e-09
412.0,2.325106881291704,0.8,1.0306983392888484e-08
414.0,2.344840229697702,0.8,1.846697376584949e-08
416.0,2.364423521715372,0.8,3.25988929343863e-08
418.0,2.3838531755984596,0.8,5.6715670679687226e-08
420.0,2.4031254246564933,0.8,9.728426065665251e-08
422.0,2.4222363008948142,0.8,1.6457495406134212e-07
424.0,2.441181619227732,0.8,2.746661856611149e-07
426.0,2.459956962477005,0.8,4.5237853087607474e-07
428.0,2.4785576673764966,0.8,7.35505045883645e-07
430.0,2.496978811810108,0.8,1.1808217992104076e-06
432.0,2.51521520351353,0.8,1.8725049070131567e-06
434.0,2.533261370470899,0.8,2.933750190218097e-06
436.0,2.551111553234739,0.8,4.5425888117045075e-06
438.0,2.568759699391601,0.8,6.953114933312967e-06
440.0,2.5861994603864096,0.8,1.0523584847716759e-05
442.0,2.603424190905579,0.8,1.5753103157373583e-05
444.0,2.620426951002598,0.8,2.332886851790489e-05
446.0,2.6372005111298993,0.8,3.418619317004382e-05
448.0,2.653737360217534,0.8,4.9583716596344014e-05
450.0,2.670029716912794,0.8,7.119637974582071e-05
452.0,2.686069544065432,0.8,0.00010122878454778407
454.0,2.7018485665108734,0.8,0.0001425515037413625
456.0,2.7173582921693247,0.8,0.0001988626974787784
458.0,2.732590036441906,0.8,0.0002748770060701303
460.0,2.747534949846783,0.8,0.00037654309661671334
462.0,2.762184048798887,0.8,0.0005112904254052329
464.0,2.7765282493968497,0.8,0.0006883047271095223
466.0,2.7905584040408318,0.8,0.0009188304570325606
468.0,2.8042653406655034,0.8,0.0012164969087430522
470.0,2.81763990433425,0.8,0.00159766303712876
472.0,2.830673000904227,0.8,0.002081774183335363
474.0,2.843355642438001,0.8,0.002691721987081006
476.0,2.8556789940065515,0.8,0.0034541968626090242
478.0,2.8676344215012026,0.8,0.004400020599245694
480.0,2.879213540048967,0.8,0.005564445027793876
482.0,2.8904082626074725,0.8,0.00698740137628328
484.0,2.9012108483023873,0.8,0.008713684028725934
486.0,2.91161395006253,0.8,0.010793051997609259
488.0,2.921610661105912,0.8,0.013280231611025465
490.0,2.931194559833889,0.8,0.01623480476562008
492.0,2.9403597527005587,0.8,0.019720968649367905
494.0,2.94910091464046,0.8,0.023807155106795947
496.0,2.9574133266593505,0.8,0.028565500784561812
498.0,2.9652929102200343,0.8,0.034071162804168525
500.0,2.972736258087634,0.8,0.04040147887421863
502.0,2.979740661335746,0.8,0.04763497535846134
504.0,2.98630413225608,0.8,0.05585023171169306
506.0,2.992425422958772,0.8,0.06512461471488976
508.0,2.998104039497898,0.8,0.07553290090011623
510.0,3.0033402514059966,0.8,0.08714581026395
512.0,3.008135096571816,0.8,0.10002847863592636
514.0,3.0124903814462463,0.8,0.11423889971663811
516.0,3.0164086766116687,0.8,0.12982637066783342
518.0,3.019893307798912,0.8,0.14682997708969345
520.0,3.022948342482926,0.8,0.16527715415633257
522.0,3.0255785722324564,0.8,0.18518236053491993
524.0,3.027789491029858,0.8,0.20654590046256857
526.0,3.029587269814008,0.8,0.22935292701578744
528.0,3.0309787275318985,0.8,0.25357265623846126
530.0,3.031971299012179,0.8,0.2791578174927958
532.0,3.0325729999968463,0.8,0.30604436029442855
534.0,3.0327923896848876,0.8,0.33415143214735243
536.0,3.0326385311542423,0.8,0.36338163568735105
538.0,3.0321209500358224,0.8,0.393621566969671
540.0,3.0312495918157687,0.8,0.4247426301988851
542.0,3.030034778139721,0.8,0.45660211779656407
544.0,3.028487162486151,0.8,0.4890445386263741
546.0,3.026617685564814,0.8,0.5219031716219544
548.0,3.0244375307818614,0.8,0.5550018171443503
550.0,3.0219580800952692,0.8,0.58815671426057
552.0,3.0191908705636363,0.8,0.6211785888814134
554.0,3.016147551868509,0.8,0.6538747953918427
556.0,3.0128398450656992,0.8,0.6860515130852249
558.0,3.009279502795047,0.8,0.7175159583769468
560.0,3.0054782711511825,0.8,0.74807857439546
562.0,3.0014478533905913,0.8,0.7775551610755594
564.0,2.997199875622945,0.8,0.8057689112305542
566.0,2.9927458546077474,0.8,0.832552321158322
568.0,2.9880971677510955,0.8,0.8577489480264686
570.0,2.9832650253720443,0.8,0.8812149904581412
572.0,2.978260445284088,0.8,0.9028206732700098
574.0,2.9730942297145915,0.8,0.9224514220624994
576.0,2.9677769445640276,0.8,0.9400088181961587
